21300,14481,3051,223312
33749,27744,8812,191839
304,514,3835,257491
8769,7408,1207,244760
3573,2935,11716,243920
2522,2131,8994,248497
4490,2159,3117,252378
35043,32864,5916,188321
39674,11389,8684,202397
15976,11587,2620,231961
9527,5327,7322,239968
15542,5480,4894,236228
9209,2939,3765,246231
11885,2381,12987,234891
6516,2073,8733,244822
18446,8306,3318,232074
3252,865,9363,248664
4466,1841,11276,244561
4946,2271,7886,247041
27066,12521,6434,216123
3994,3918,5824,248408
13282,2100,11790,234972
203,0,8265,253676
27610,3501,3197,227836
1529,353,7474,252788
20560,4998,10933,225653
4679,1082,3496,252887
3719,732,4156,253537
7088,3697,1622,249737
35142,13093,7507,206402
18113,6088,14366,223577
8233,8464,8141,237306
43675,19225,6276,192968
6426,930,18818,235970
9690,3050,6922,242482
10684,1711,6145,243604
8632,2624,3570,247318
6967,2302,8363,244512
9751,3439,7687,241267
15696,3065,15838,227545
3651,1653,6411,250429
16083,3911,6267,235883
20939,2007,11464,227734
8904,3486,5946,243808
2439,978,8575,250152
9921,1101,20795,230327
2263,1597,9021,249263
13922,7692,4582,235948
0,0,4781,257363
5562,303,3263,253016
5734,1727,7519,247164
39374,13833,13513,195424
3439,1146,5132,252427
29858,8676,9338,214272
14207,595,1264,246078
24743,7842,8746,220813
2516,1334,9041,249253
23588,2576,11153,224827
26393,6400,9084,220267
22483,15546,7875,216240
30703,36370,12747,182324
2709,1833,7836,249766
3445,100,4693,253906
5240,1074,2206,253624
1610,26,23496,237012
6516,1222,6608,247798
2583,771,7398,251392
11480,1149,5218,244297
7164,4318,8570,242092
28403,6454,9492,217795
15168,2380,4363,240233
19576,4825,8496,229247
23237,3703,7454,227750
6904,2705,2035,250500
3136,662,1927,256419
8546,7098,6916,239584
19161,14185,9817,218981
17483,2910,4030,237721
19913,661,9524,232046
35841,17831,3533,204939
11121,7046,6681,237296
1851,1361,7195,251737
5671,2964,7493,246016
3159,1452,17995,239538
5618,8126,3365,245035
16637,5515,7798,232194
3291,3521,4005,251327
32090,9324,3007,217723
9313,5858,4272,242701
1094,55,6543,254452
10032,5362,2737,244013
4583,3430,11729,242402
6980,2941,5714,246509
3989,3765,10750,243640
3599,5591,8216,244738
5843,1794,1995,252512
36204,13497,8256,204187
5320,1209,6814,248801
33258,11046,7240,210600
9035,6358,3849,242902
